orderHash,maker,taker,makerAssetId,takerAssetId,makerAmountFilled,takerAmountFilled,fee,event
0xefafd1304dfd8b0fb139720d29d69555b9ff7514af0d2cb4c5a4985c2bafeffb,0x388911e52bb2eb440b9f03ed24bcef13c93e1499,0x0c0e270cf879583d6a0142fc817e05b768d0434e,0,295952928962962479775482261643521723226491394789186801122636970689032949360,106745832265650867656104501804884165052233267113637394973874960257294916387401,108555083659983933209597798445644913612440610624038028786991485007418559096033,86844066927987146567678238756515930889952488499230423029593188005934847229952,OrderFilled
0x2c9e166eb723fe63c793c152bb6ef18503ebd7872c1c9a4a8982f6d5022ca8ab,0x0c0e270cf879583d6a0142fc817e05b768d0434e,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0,36870216811522843760535776893453102432481395889792886749285024096476854456,91819508262403076839784804518607989430522683152832166015663631068774864577175,94081072505319408781651425319558925130781862540832958282059287006429417891041,86844066927987146567678238756515930889952488499230423029593188005934847229952,OrderFilled
0xaf19d3a628171a5d67717eceea748ab65da63c288afb5fcaa0803c0a99e4d5be,0x388911e52bb2eb440b9f03ed24bcef13c93e1499,0x0c0e270cf879583d6a0142fc817e05b768d0434e,0,112063458698248407376501506387056960107872098916769449303155673208012985692,13117072608914725262826400645515427061503240450404595145094804438396409217609,108555083659983933209597798445644913612440610624038028786991485007418559096033,86844066927987146567678238756515930889952488499230423029593188005934847229952,OrderFilled
0x1b39e93836c1fe16bf1a8db4f11f7d471bd738acf3905f2473460d0e1447d415,0x0c0e270cf879583d6a0142fc817e05b768d0434e,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0,54339195741433945206734226947547208083754196253253970622072467147661264481,74631620016238954081598486431380878108552919804026144791056645942600259396247,94081072505319408781651425319558925130781862540832958282059287006429417891041,86844066927987146567678238756515930889952488499230423029593188005934847229952,OrderFilled
0x6bccfbedeeaba79e2ce28731641b1e9bea5ff1ab7e07863ba4df042e3ba82fe3,0x9d84ce0306f8551e02efef1680475fc0f1dc1344,0x576a0f3f040b632e8cb438c9449717e7ef0158da,0,109915657874064939064529335421501268774221372323468858759891852151108155456,38446592129577643011732553616165906904406049596013468528726150940127408225760,2000000,0,OrderFilled
0xedda885a3bbd35cd5987e81fbc0b64523c2a8f814188bb34766d3847b6314ac2,0x576a0f3f040b632e8cb438c9449717e7ef0158da,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,109915657874064939064529335421501268774221372323468858759891852151108155456,38446592129577643011732553616165906904406049596013468528726150940127406325760,2000000,1900000,0,OrderFilled
0xd2a87382fe6359d283c57e28c141623bf7adc339a77185b90d5558e7d50a1d4b,0xda44c444dc63d3d3719c8b2da410bd52708f2b09,0x8106c64e4cc29cbe1d3154e02b38c36b6e9b9a57,0,338950133035519604798656644079212132099427521710469015852573873324932728867,72370055773322622139731865630429942408293740416025352524660990004945706112709,1356938545749799165119972480570561420155507632800475359837393562592732271029,37994279280994376623359229455975719764354213718413310075447019752596495663104,OrderFilled
0x6d2c5a6cf3ee684aebf21ba3823b9aee65dc61a9ed089b1b7aa9e22e22cacb3e,0x8106c64e4cc29cbe1d3154e02b38c36b6e9b9a57,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0,220043438979562832358621287377925461966909418384311554395856520348622038382,23972580974913118583786180490079918422747301512808398023793952939138265316080,36637340735244577458239256975405158344198706085612834715609626190003763958197,37994279280994376623359229455975719764354213718413310075447019752596495663104,OrderFilled
0xc0140cbbcfa3670bb830b56f0cca661cca30318cb7bf555ed90b4cf69c2a407d,0x0e8d61f16a2373931ffbfc2993f046e33286dfcc,0xb705c56905026dbace1abe80b9f3c748eeffe280,0,109915657874064939064529335421501268774221372323468858759891852151108155456,38446592129577643011732553616165906904406049596013468528726150940127425661697,57896044618658097711785492504343953926634992332820282019728792003956584351218,0,OrderFilled
0xf6fea895940a01a311e756a6d948a5730229cd47857511ca33b82d6625d40850,0xb705c56905026dbace1abe80b9f3c748eeffe280,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0,123314900189558565426265704650424073272633854519632949971367328181264114419,108555083659983933209597798445644913612440610624038028786991485007418559232752,57896044618658097711785492504343953926634992332820282019728792003956584351218,0,OrderFilled
